B00, 0
B12, Trade, 320.600, 101, B12, S01, 1
B12, Trade, 346.575, 99, S08, B12, 1
B12, Trade, 365.325, 97, S08, B12, 1
B12, Trade, 371.400, 104, B12, S08, 1
B12, Trade, 387.650, 107, S11, B12, 1
B12, Trade, 423.725, 104, S08, B12, 1
B12, Trade, 444.750, 98, S02, B12, 1
B12, Trade, 451.250, 98, S00, B12, 1
B12, Trade, 456.950, 102, S10, B12, 1
B12, Trade, 474.025, 107, S11, B12, 1
B12, Trade, 479.375, 108, S11, B12, 1
B12, Trade, 484.050, 108, B12, S10, 1
B12, Trade, 520.650, 102, S10, B12, 1
B12, Trade, 524.275, 105, S03, B12, 1
B12, Trade, 543.400, 102, S02, B12, 1
B12, Trade, 547.600, 113, B12, S10, 1
B12, Trade, 581.575, 108, S11, B12, 1
B12, Trade, 606.375, 107, S11, B12, 1
B12, Trade, 618.475, 100, S03, B12, 1
B12, Trade, 645.900, 102, S10, B12, 1
B12, Trade, 649.800, 102, S02, B12, 1
B12, Trade, 665.600, 105, B12, S10, 1
B12, Trade, 666.900, 111, B12, S04, 1
B12, Trade, 678.225, 103, S04, B12, 1
B12, Trade, 716.325, 105, S02, B12, 1
B12, Trade, 736.025, 100, S08, B12, 1
B12, Trade, 754.700, 100, B12, S06, 1
B12, Trade, 765.125, 110, B12, S03, 1
B12, Trade, 779.300, 82, S02, B12, 1
B12, Trade, 787.750, 107, S03, B12, 1
B12, Trade, 791.775, 109, B12, S02, 1
B12, Trade, 797.075, 110, S02, B12, 1
B12, Trade, 803.475, 100, S08, B12, 1
B12, Trade, 811.100, 103, B12, S10, 1
B12, Trade, 823.775, 100, S02, B12, 1
B12, Trade, 832.725, 105, S02, B12, 1
B13, 100
B13, Trade, 107.750, 102, B13, S03, 1
B13, Trade, 120.775, 103, B13, S05, 1
B13, Trade, 125.675, 100, B13, S02, 1
B13, Trade, 132.100, 95, B13, S01, 1
B13, Trade, 143.350, 102, B13, S10, 1
B13, Trade, 150.100, 106, B13, S01, 1
B13, Trade, 156.075, 107, B13, S00, 1
B13, Trade, 164.750, 104, B13, S03, 1
B13, Trade, 170.300, 106, B13, S06, 1
B13, Trade, 173.575, 107, B13, S06, 1
B13, Trade, 181.225, 104, B13, S10, 1
B13, Trade, 187.250, 105, B13, S06, 1
B13, Trade, 189.325, 104, B13, S03, 1
B13, Trade, 197.875, 108, B13, S04, 1
B13, Trade, 213.875, 98, B13, S06, 1
B13, Trade, 237.375, 99, B13, S01, 1
B13, Trade, 240.350, 104, B13, S04, 1
B13, Trade, 244.025, 101, B13, S06, 1
B13, Trade, 255.625, 104, B13, S06, 1
B13, Trade, 259.300, 104, B13, S06, 1
B13, Trade, 263.375, 102, B13, S06, 1
B13, Trade, 271.450, 104, B13, S00, 1
B13, Trade, 281.500, 102, B13, S06, 1
B13, Trade, 291.850, 101, B13, S05, 1
B13, Trade, 296.900, 102, B13, S01, 1
B13, Trade, 307.425, 105, B13, S06, 1
B13, Trade, 313.625, 100, S02, B13, 1
B13, Trade, 315.450, 97, B13, S06, 1
B13, Trade, 330.000, 99, B13, S06, 1
B13, Trade, 333.075, 97, B13, S03, 1
B13, Trade, 343.300, 99, B13, S01, 1
B13, Trade, 345.850, 98, B13, S01, 1
B13, Trade, 352.050, 98, B13, S04, 1
B13, Trade, 362.900, 97, B13, S01, 1
B13, Trade, 366.750, 95, B13, S06, 1
B13, Trade, 390.100, 101, S03, B13, 1
B13, Trade, 399.050, 100, B13, S04, 1
B13, Trade, 405.775, 97, B13, S06, 1
B13, Trade, 421.800, 100, B13, S06, 1
B13, Trade, 427.675, 102, B13, S04, 1
B13, Trade, 430.450, 81, S06, B13, 1
B13, Trade, 439.150, 99, B13, S01, 1
B13, Trade, 444.875, 96, B13, S06, 1
B13, Trade, 455.350, 98, B13, S03, 1
B13, Trade, 465.925, 99, S00, B13, 1
B13, Trade, 471.650, 95, S02, B13, 1
B13, Trade, 476.100, 103, B13, S06, 1
B13, Trade, 486.500, 105, B13, S06, 1
B13, Trade, 489.400, 105, B13, S09, 1
B13, Trade, 490.650, 104, S08, B13, 1
B13, Trade, 496.275, 100, B13, S01, 1
B13, Trade, 505.725, 97, B13, S00, 1
B13, Trade, 511.900, 100, B13, S00, 1
B13, Trade, 515.125, 99, B13, S04, 1
B13, Trade, 520.100, 99, B13, S01, 1
B13, Trade, 527.025, 105, B13, S09, 1
B13, Trade, 532.000, 102, B13, S06, 1
B13, Trade, 540.225, 101, B13, S03, 1
B13, Trade, 543.475, 100, B13, S01, 1
B13, Trade, 549.250, 107, B13, S01, 1
B13, Trade, 554.975, 104, B13, S07, 1
B13, Trade, 560.150, 100, B13, S01, 1
